MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBanCOM,SMA5,SMA10,SMA20,SMA50,GUESS_SMA5_SMA20,GUESS_SMA10_SMA50,CCI
FPT,12/21/2009 12:00:00 AM,70,70,70,70,60410,70,64,67,3,4.48,100000,2400,34730,null,null,null,null,null,null,0
FPT,12/18/2009 12:00:00 AM,70,73.5,67,67,533620,73.5,66.5,70,-3,-4.29,0,98130,458100,null,null,null,null,null,null,0
FPT,12/17/2009 12:00:00 AM,69,71,69,70,239330,75.5,68.5,72,-2,-2.78,0,46180,162730,null,null,null,null,null,null,0
FPT,12/16/2009 12:00:00 AM,74.5,74.5,72,72,250450,78,71,74.5,-2.5,-3.36,0,95940,103890,null,null,null,null,null,null,0
FPT,12/15/2009 12:00:00 AM,73.5,75,73.5,74.5,143720,77.5,70.5,74,0.5,0.68,0,44100,15250,70.7,null,null,null,null,null,0
FPT,12/14/2009 12:00:00 AM,72,74,72,74,158620,74,67,70.5,3.5,4.96,0,22500,3100,71.5,null,null,null,null,null,0
FPT,12/11/2009 12:00:00 AM,70.5,73,70.5,72,230670,76.5,69.5,73,-1,-1.37,0,104810,920,72.5,null,null,null,null,null,0
FPT,12/10/2009 12:00:00 AM,74.5,74.5,73,73,395690,77,70,73.5,-0.5,-0.68,0,61050,121930,73.1,null,null,null,null,null,0
FPT,12/9/2009 12:00:00 AM,74,74.5,73,73.5,314220,80,73,76.5,-3,-3.92,0,91450,65120,73.4,null,null,null,null,null,0
FPT,12/8/2009 12:00:00 AM,76.5,77.5,76,76.5,101630,81,74,77.5,-1,-1.29,0,36550,37430,73.8,72.25,null,null,null,null,0
FPT,12/7/2009 12:00:00 AM,75,77.5,0,77.5,116970,81,74,76,1.5,1.97,0,59480,50120,74.5,73,null,null,null,null,0
FPT,12/4/2009 12:00:00 AM,78,78,75.5,76,224910,79.5,72.5,76,0,0,0,122150,174010,75.3,73.9,null,null,null,null,0
FPT,12/3/2009 12:00:00 AM,76,78.5,76,76,527820,81.5,74.5,78,-2,-2.56,0,68600,201240,75.9,74.5,null,null,null,null,0
FPT,12/2/2009 12:00:00 AM,77.5,80,77,78,209760,83,76,79.5,-1.5,-1.89,0,11410,18570,76.8,75.1,null,null,null,null,0
FPT,12/1/2009 12:00:00 AM,80,81.5,79.5,79.5,188270,83,76,79.5,0,0,0,19600,10680,77.4,75.6,null,null,null,null,0
FPT,11/30/2009 12:00:00 AM,78,79.5,76,79.5,294120,79.5,72.5,76,3.5,4.61,0,77530,5000,77.8,76.15,null,null,null,null,0
FPT,11/27/2009 12:00:00 AM,69,76,69,76,381500,76,69,72.5,3.5,4.83,0,196910,19690,77.8,76.55,null,null,null,null,0
FPT,11/26/2009 12:00:00 AM,72.5,76,72.5,72.5,360310,79.5,72.5,76,-3.5,-4.61,0,155060,38700,77.1,76.5,null,null,null,null,0
FPT,11/25/2009 12:00:00 AM,79,80,76,76,500720,84,76,80,-4,-5,0,85440,86890,76.7,76.75,null,null,null,null,0
FPT,11/24/2009 12:00:00 AM,81,82,80,80,263770,86,78,82,-2,-2.44,20000,30420,650,76.8,77.1,74.675,null,null,null,Infinity
FPT,11/23/2009 12:00:00 AM,84,84,80.5,82,240750,88,80,84,-2,-2.38,0,11350,72880,77.3,77.55,75.275,null,null,null,0.7734388
FPT,11/20/2009 12:00:00 AM,83.5,84,82.5,84,108760,88,80,84,0,0,0,45300,42130,78.9,78.35,76.125,null,null,null,0.8756341
FPT,11/19/2009 12:00:00 AM,83,84,83,84,136230,87,79,83,1,1.2,0,83470,24340,81.2,79.15,76.825,null,null,null,0.860178
FPT,11/18/2009 12:00:00 AM,83,83.5,82.5,83,227080,86.5,78.5,82.5,0.5,0.61,0,157240,40780,82.6,79.65,77.375,null,null,null,0.7614965
FPT,11/17/2009 12:00:00 AM,83,83,81.5,82.5,199100,86,78,82,0.5,0.61,20000,130700,15060,83.1,79.95,77.775,null,null,null,0.6742585
FPT,11/16/2009 12:00:00 AM,83,84.5,82,82,400690,88,80,84,-2,-2.38,0,236730,16130,83.1,80.2,78.175,null,null,null,0.7255261
FPT,11/13/2009 12:00:00 AM,82.5,84,82.5,84,142040,88,80,84,0,0,0,52830,79190,83.1,81,78.775,null,null,null,0.7936452
FPT,11/12/2009 12:00:00 AM,82.5,84.5,82,84,292170,88,80,82,2,2.44,0,143030,650,83.1,82.15,79.325,null,null,null,0.7683368
FPT,11/11/2009 12:00:00 AM,81,82,80,82,197380,84,76,80,2,2.5,0,118150,0,82.9,82.75,79.75,null,null,null,0.4508329
FPT,11/10/2009 12:00:00 AM,82.5,82.5,80,80,309780,85.5,77.5,81.5,-1.5,-1.84,20000,38680,5790,82.4,82.75,79.925,null,null,null,0.3537201
FPT,11/9/2009 12:00:00 AM,82,83,81.5,81.5,204280,86,78,82,-0.5,-0.61,0,43180,6600,82.3,82.7,80.125,null,null,null,0.5435695
FPT,11/6/2009 12:00:00 AM,86,86,82,82,125400,88.5,80.5,84.5,-2.5,-2.96,0,23360,34080,81.9,82.5,80.425,null,null,null,0.5459825
FPT,11/5/2009 12:00:00 AM,83.5,84.5,83,84.5,138140,86,78,82,2.5,3.05,0,54600,15260,82,82.55,80.85,null,null,null,0.6668833
FPT,11/4/2009 12:00:00 AM,81,83,80.5,82,323670,85,77,81,1,1.23,0,144930,74720,82,82.45,81.05,null,null,null,0.2000881
FPT,11/3/2009 12:00:00 AM,84,84,80.5,81,159800,86,78,82,-1,-1.22,0,13210,2800,82.2,82.3,81.125,null,null,null,0.1855344
FPT,11/2/2009 12:00:00 AM,82.5,83.5,82,82,612130,90,82,86,-4,-4.65,0,114470,163190,82.3,82.3,81.25,null,null,null,0.3868362
FPT,10/30/2009 12:00:00 AM,86,87,82.5,86,223510,89,81,85,1,1.18,0,58300,66040,83.1,82.5,81.75,null,null,null,1.321479
FPT,10/29/2009 12:00:00 AM,85.5,87,84,85,327940,91.5,83.5,87.5,-2.5,-2.86,0,87210,62140,83.2,82.6,82.375,null,null,null,1.442669
FPT,10/28/2009 12:00:00 AM,89,89,87,87.5,149230,92,84,88,-0.5,-0.57,0,31120,24050,84.3,83.15,82.95,null,null,null,2.915185
FPT,10/27/2009 12:00:00 AM,89,89,87,88,400590,93,85,89,-1,-1.12,20000,130850,50880,85.7,83.95,83.35,null,null,null,3.867272
FPT,10/26/2009 12:00:00 AM,89,90,88.5,89,505350,93.5,85.5,89.5,-0.5,-0.56,0,206890,35700,87.1,84.7,83.7,null,null,null,4.549411
FPT,10/23/2009 12:00:00 AM,92,92,89.5,89.5,408920,95,86,90.5,-1,-1.1,0,37540,7080,87.8,85.45,83.975,null,True,null,5.265082
FPT,10/22/2009 12:00:00 AM,89,91,88.5,90.5,376810,93,85,89,1.5,1.69,0,61350,53680,88.9,86.05,84.3,null,null,null,4.780502
FPT,10/21/2009 12:00:00 AM,90.5,90.5,89,89,316080,95,86,90.5,-1.5,-1.66,0,116800,31040,89.2,86.75,84.6,null,null,null,4.171579
FPT,10/20/2009 12:00:00 AM,92,92,90,90.5,346720,93,85,89,1.5,1.69,0,46610,5580,89.7,87.7,85,null,null,True,5.057747
FPT,10/19/2009 12:00:00 AM,92,92,89,89,398520,96,87,91.5,-2.5,-2.73,0,111260,70010,89.7,88.4,85.35,null,null,null,4.00303
FPT,10/16/2009 12:00:00 AM,93,94,91.5,91.5,575620,97.5,88.5,93,-1.5,-1.61,0,166170,102600,90.1,88.95,85.725,null,null,null,5.679826
FPT,10/15/2009 12:00:00 AM,93,93,90,93,1027360,93,85,89,4,4.49,0,189770,124160,90.6,89.75,86.175,null,null,null,5.003701
FPT,10/14/2009 12:00:00 AM,87,89,87,89,477770,91.5,83.5,87.5,1.5,1.71,0,155050,95050,90.6,89.9,86.525,null,null,null,1.59477
FPT,10/13/2009 12:00:00 AM,87.5,88,87,87.5,466710,91.5,83.5,87.5,0,0,0,214930,100840,90,89.85,86.9,81.18,null,null,0.6179802
