Code,Date,Open,High,Low,Close
SCI,1/21/2002,1407,1412.21,1362.62,1366.97
SCI,1/22/2002,1360.29,1400.76,1348.79,1358.69
SCI,1/23/2002,1355.86,1445.7,1346.17,1444.97
SCI,1/24/2002,1435.32,1478.54,1400.35,1456.4
SCI,1/25/2002,1449.88,1464.9,1442.94,1451.48
SCI,1/28/2002,1444.5,1448.6,1357.55,1359.55
SCI,1/29/2002,1343.36,1396.11,1339.2,1392.78
SCI,1/30/2002,1392.95,1408.05,1381.01,1396.61
SCI,1/31/2002,1413.22,1501.33,1413.22,1491.67
SCI,2/1/2002,1494.58,1507.64,1480.77,1485.77
SCI,2/4/2002,1485.68,1513.67,1476.13,1511.33
SCI,2/5/2002,1510.57,1522.32,1502.09,1518.28
SCI,2/6/2002,1517.81,1521.56,1484.25,1485.8
SCI,2/7/2002,1482.36,1521.03,1481.07,1515.39
SCI,2/8/2002,1520.72,1530.13,1506.07,1506.62
SCI,2/25/2002,1540.49,1544.57,1521.66,1530.28
SCI,2/26/2002,1529.38,1531.72,1507.58,1531.43
SCI,2/27/2002,1531.32,1544.92,1524.69,1538.32
SCI,2/28/2002,1537.93,1544.39,1521.08,1524.7
SCI,3/1/2002,1521.53,1521.57,1501.56,1502.54
SCI,3/4/2002,1497.83,1527.4,1494.83,1526.8
SCI,3/5/2002,1529.3,1566.07,1529.3,1560.08
SCI,3/6/2002,1564.69,1594.67,1563.92,1569.21
SCI,3/7/2002,1569.17,1613.26,1569.07,1613
SCI,3/8/2002,1622.87,1645.29,1611.23,1640.26
SCI,3/11/2002,1643.59,1664.52,1632.62,1664.09
SCI,3/12/2002,1665.24,1672.04,1641.58,1643.69
SCI,3/13/2002,1636.95,1655.63,1621.8,1623.43
SCI,3/14/2002,1621.08,1665.79,1621.08,1665.15
SCI,3/15/2002,1671.83,1676.51,1620.56,1620.98
SCI,3/18/2002,1641.43,1657.68,1610.99,1623.88
SCI,3/19/2002,1624.32,1665.62,1624.29,1665.36
SCI,3/20/2002,1673.27,1686.11,1664.37,1682.51
