Code,Date,Open,High,Low,Close
SCI,3/21/2002,1686.95,1693.87,1675.25,1685.02
SCI,3/22/2002,1684.07,1684.46,1659.52,1669.69
SCI,3/25/2002,1667.85,1677.05,1663.4,1675.29
SCI,3/26/2002,1674.7,1675.21,1641.91,1649.48
SCI,3/27/2002,1646.68,1655.18,1635.82,1654.23
SCI,3/28/2002,1653.98,1666.52,1645.34,1650.67
SCI,3/29/2002,1648.09,1648.09,1596.25,1603.91
SCI,4/1/2002,1598.03,1609.92,1589.41,1608.51
SCI,4/2/2002,1608.52,1610.73,1575.97,1582.88
SCI,4/3/2002,1582.74,1603.8,1582.67,1594.51
SCI,4/4/2002,1595.02,1643.54,1583.63,1641.7
SCI,4/5/2002,1650.5,1657.09,1628.55,1634.64
SCI,4/8/2002,1633.83,1643.68,1631.07,1640.65
SCI,4/9/2002,1641.85,1671.86,1640.69,1667.52
SCI,4/10/2002,1670.8,1677.94,1663.47,1677.66
SCI,4/11/2002,1679.34,1680.3,1649.27,1649.53
SCI,4/12/2002,1648.45,1664.42,1648.45,1658.98
SCI,4/15/2002,1660.57,1664.52,1638.64,1649.5
SCI,4/16/2002,1647.51,1654.74,1635.75,1640.29
SCI,4/17/2002,1641.72,1649.43,1630.23,1644.4
SCI,4/18/2002,1644.15,1646.25,1626.03,1628.14
SCI,4/19/2002,1625.25,1635.53,1603.96,1635.17
SCI,4/22/2002,1633.64,1637.19,1619.16,1627.48
SCI,4/23/2002,1626.63,1634.86,1621.87,1624.55
SCI,4/24/2002,1623.47,1626.39,1609.21,1611.05
SCI,4/25/2002,1609.94,1616.76,1603.64,1615.92
SCI,4/26/2002,1615.52,1643.15,1615.52,1640.59
SCI,4/29/2002,1643.55,1667.16,1640.56,1665.81
SCI,4/30/2002,1668.31,1673.75,1657.82,1667.75
SCI,5/8/2002,1669.87,1670.92,1651.69,1652.37
SCI,5/9/2002,1648.46,1659.25,1646.82,1650.58
SCI,5/10/2002,1650.91,1652.29,1636.86,1638.2
SCI,5/13/2002,1634.9,1634.92,1618.46,1623.94
SCI,5/14/2002,1622.33,1629.88,1613.55,1616.23
SCI,5/15/2002,1614.9,1618.14,1597.92,1598.35
SCI,5/16/2002,1592.24,1592.24,1546.94,1549.5
SCI,5/17/2002,1549.08,1570.15,1540.58,1567.5
SCI,5/20/2002,1564.97,1564.98,1529.35,1541.53
SCI,5/21/2002,1575.02,1599.11,1564.55,1588.11
SCI,5/22/2002,1590.79,1591.03,1563.16,1564.49
SCI,5/23/2002,1571.08,1585.74,1568.1,1571.61
SCI,5/24/2002,1572.94,1574.13,1544.42,1549.47
SCI,5/27/2002,1555.04,1562.63,1545.62,1555.05
SCI,5/28/2002,1557.62,1569.41,1557.23,1558.52
SCI,5/29/2002,1558.13,1558.15,1520.13,1524.81
SCI,5/30/2002,1524.22,1530.77,1506.54,1523.52
SCI,5/31/2002,1523.01,1532.03,1513.26,1515.73
SCI,6/3/2002,1510.25,1510.26,1480.09,1483.35
SCI,6/4/2002,1484.01,1498.05,1474.36,1490.51
SCI,6/5/2002,1491.07,1491.07,1460.48,1462
SCI,6/6/2002,1458.61,1532.74,1455.31,1521.26
SCI,6/7/2002,1522.88,1540.83,1508.43,1529.51
SCI,6/10/2002,1529.34,1529.38,1511.26,1517.23
SCI,6/11/2002,1515.99,1534.38,1515.75,1530.96
SCI,6/12/2002,1531.75,1531.75,1513.92,1524.84
SCI,6/13/2002,1524.77,1529.44,1511.22,1511.71
SCI,6/14/2002,1508.64,1508.65,1493.24,1494.25
SCI,6/17/2002,1489.14,1496.84,1481.25,1496.24
SCI,6/18/2002,1496.83,1527.77,1496.81,1524.07
SCI,6/19/2002,1523.95,1524.01,1506.43,1507.67
SCI,6/20/2002,1511.12,1528.36,1510.53,1516.15
SCI,6/21/2002,1517.28,1564.92,1517.26,1562.72
SCI,6/24/2002,1704.7,1709.07,1647.5,1707.31
SCI,6/25/2002,1718.23,1748.89,1690.61,1706.59
SCI,6/26/2002,1698.11,1719.08,1684.91,1712.91
SCI,6/27/2002,1714.74,1730.67,1706.14,1723.94
SCI,6/28/2002,1724.73,1747.23,1711,1732.76
SCI,7/1/2002,1736.29,1740.38,1712.77,1713.71
SCI,7/2/2002,1707.45,1725.89,1698.83,1724.95
SCI,7/3/2002,1727.09,1736.08,1719.62,1730.92
SCI,7/4/2002,1731.9,1735.83,1710.29,1713.14
SCI,7/5/2002,1709.84,1722.48,1704.19,1722.19
SCI,7/8/2002,1723.58,1737.86,1721.12,1732.93
SCI,7/9/2002,1733.83,1741.92,1724.39,1729.99
SCI,7/10/2002,1728.52,1729.73,1698.83,1701.82
SCI,7/11/2002,1698.21,1712.2,1689.22,1696.94
SCI,7/12/2002,1696.64,1706.44,1693.21,1698.3
SCI,7/15/2002,1696.81,1697.38,1685.54,1687.95
SCI,7/16/2002,1687.67,1704.77,1686.81,1691.62
SCI,7/17/2002,1692.45,1702.24,1680.2,1701.72
SCI,7/18/2002,1703.81,1711.69,1695.4,1704.91
SCI,7/19/2002,1706.36,1714.09,1703.38,1713.86
SCI,7/22/2002,1712.02,1712.33,1678.5,1681.01
SCI,7/23/2002,1676.9,1684.66,1670.38,1673.86
SCI,7/24/2002,1673.68,1679.66,1667.44,1672.4
SCI,7/25/2002,1675.47,1682.89,1662.38,1665.11
SCI,7/26/2002,1665.09,1670.23,1656.82,1657.5
SCI,7/29/2002,1654.93,1665.96,1647.27,1665.67
SCI,7/30/2002,1666.58,1672.12,1656.85,1669
SCI,7/31/2002,1667.62,1671.48,1649.01,1651.59
SCI,8/1/2002,1650.05,1659.97,1639.23,1653.01
SCI,8/2/2002,1653.64,1662.72,1653.17,1661.87
SCI,8/5/2002,1661.4,1661.58,1652.4,1653.96
SCI,8/6/2002,1652.94,1679.81,1649.89,1670.62
SCI,8/7/2002,1670.17,1670.81,1663.93,1668.07
SCI,8/8/2002,1668.51,1675.3,1657.47,1659.8
SCI,8/9/2002,1658.44,1658.77,1642.77,1647.05
SCI,8/12/2002,1642.48,1642.59,1633.09,1634.57
SCI,8/13/2002,1633.68,1642.41,1633.55,1636.63
SCI,8/14/2002,1636.89,1647.09,1635.29,1646.72
SCI,8/15/2002,1646.62,1647.07,1632.13,1634.37
SCI,8/16/2002,1632.96,1652.98,1624.05,1646.79
SCI,8/19/2002,1645.93,1650.09,1641.4,1644.3
SCI,8/20/2002,1644.62,1673.92,1644.25,1671.35
SCI,8/21/2002,1671.99,1677.95,1668.36,1673.55
SCI,8/22/2002,1672.7,1696.28,1672.43,1686.11
SCI,8/23/2002,1686.3,1688.12,1679.12,1683.21
SCI,8/26/2002,1682.14,1682.32,1668.82,1670.69
SCI,8/27/2002,1670.63,1680.06,1670.11,1679.69
SCI,8/28/2002,1680.75,1683.51,1675.53,1676.77
SCI,8/29/2002,1676.86,1680.17,1665.72,1667.32
SCI,8/30/2002,1666.98,1669.14,1664.82,1666.62
SCI,9/2/2002,1666.34,1669.91,1663.17,1668.77
SCI,9/3/2002,1669.59,1680.28,1669.58,1674.07
SCI,9/4/2002,1674.45,1675.97,1662.49,1663.97
SCI,9/5/2002,1662.89,1662.9,1639.82,1641.81
SCI,9/6/2002,1639.89,1644.8,1629.93,1631.38
SCI,9/9/2002,1628.45,1628.45,1617.01,1621.58
SCI,9/10/2002,1620.28,1627.35,1619.33,1625.11
SCI,9/11/2002,1625.33,1626.84,1605.98,1620.36
SCI,9/12/2002,1619.94,1631.67,1614.6,1624.56
SCI,9/13/2002,1624.5,1626.07,1621.42,1625.76
SCI,9/16/2002,1624.13,1624.14,1598.74,1604.08
SCI,9/17/2002,1603.46,1612.02,1593.98,1604.88
SCI,9/18/2002,1603.61,1605.22,1593.53,1594.58
SCI,9/19/2002,1593.57,1623.65,1585.07,1619.35
SCI,9/20/2002,1618.2,1618.2,1602.89,1604.91
SCI,9/23/2002,1602.28,1604.3,1597.29,1602.59
SCI,9/24/2002,1602.2,1602.29,1594.28,1596.73
SCI,9/25/2002,1595.81,1602.35,1590.49,1597.84
SCI,9/26/2002,1597.85,1599.98,1586.53,1587.65
SCI,9/27/2002,1587.24,1591.84,1577.53,1581.62
