MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBanCOM,SMA5,SMA10,SMA20,SMA50,GUESS_SMA5_SMA20,GUESS_SMA10_SMA50,CCI
ACB,12/21/2009 12:00:00 AM,38,38.8,37.4,38.4,1251700,40.3,35.1,37.7,0.7,1.86,38000,0,0,null,null,null,null,null,null,0
ACB,12/18/2009 12:00:00 AM,36.8,38.2,36.5,37.7,1649900,38.5,33.5,36,1.7,4.72,0,0,0,null,null,null,null,null,null,0
ACB,12/17/2009 12:00:00 AM,36,37.1,35,36,1093600,38.6,33.6,36.1,-0.1,-0.28,159900,0,0,null,null,null,null,null,null,0
ACB,12/16/2009 12:00:00 AM,36.9,37.2,35.7,36.1,1084600,39.9,34.7,37.3,-1.2,-3.22,0,0,0,null,null,null,null,null,null,0
ACB,12/15/2009 12:00:00 AM,38.5,38.5,36.9,37.3,1193700,39.4,34.4,36.9,0.4,1.08,195000,0,0,37.1,null,null,null,null,null,0
ACB,12/14/2009 12:00:00 AM,35,37.3,35,36.9,1605700,37.3,32.5,34.9,2,5.73,454700,0,0,36.8,null,null,null,null,null,0
ACB,12/11/2009 12:00:00 AM,35,35.5,34.6,34.9,1571800,37.5,32.7,35.1,-0.2,-0.57,227100,0,0,36.24,null,null,null,False,null,0
ACB,12/10/2009 12:00:00 AM,34.6,36,34.5,35.1,1932800,37.1,32.3,34.7,0.4,1.15,400500,0,0,36.06,null,null,null,null,null,0
ACB,12/9/2009 12:00:00 AM,35,35.1,34.3,34.7,1353700,38.8,33.8,36.3,-1.6,-4.41,65000,0,0,35.78,null,null,null,null,null,0
ACB,12/8/2009 12:00:00 AM,37,37.2,35.9,36.3,1067400,39.6,34.6,37.1,-0.8,-2.16,30021,0,0,35.58,36.34,null,null,null,null,0
ACB,12/7/2009 12:00:00 AM,37.4,37.4,36.8,37.1,1066200,39.5,34.5,37,0.1,0.27,0,0,0,35.62,36.21,null,null,null,null,0
ACB,12/4/2009 12:00:00 AM,37.4,37.5,36.6,37,970000,39.8,34.6,37.2,-0.2,-0.54,100000,0,0,36.04,36.14,null,null,null,null,0
ACB,12/3/2009 12:00:00 AM,36.5,37.8,36.5,37.2,2732200,41.3,35.9,38.6,-1.4,-3.63,105000,0,0,36.46,36.26,null,null,null,null,0
ACB,12/2/2009 12:00:00 AM,41.4,41.5,36.6,38.6,2892600,41.5,36.1,38.8,-0.2,-0.52,0,0,0,37.24,36.51,null,null,null,null,0
ACB,12/1/2009 12:00:00 AM,38.8,38.9,38,38.8,970200,38.9,33.9,36.4,2.4,6.59,9000,0,0,37.74,36.66,null,null,null,null,0
ACB,11/30/2009 12:00:00 AM,35.2,36.8,35.1,36.4,1421000,36.8,32,34.4,2,5.81,75000,0,0,37.6,36.61,null,null,null,null,0
ACB,11/27/2009 12:00:00 AM,32,36.4,31.8,34.4,3345800,36.4,31.8,34.1,0.3,0.88,38000,0,0,37.08,36.56,null,null,null,null,0
ACB,11/26/2009 12:00:00 AM,35.1,36,33.7,34.1,2090300,38.7,33.7,36.2,-2.1,-5.8,136600,0,0,36.46,36.46,null,null,null,null,0
ACB,11/25/2009 12:00:00 AM,38.2,38.5,35.9,36.2,2560500,41.1,35.9,38.5,-2.3,-5.97,262000,10000,10000,35.98,36.61,null,null,null,null,0
ACB,11/24/2009 12:00:00 AM,39.2,40,38.1,38.5,795400,41.9,36.5,39.2,-0.7,-1.79,25000,0,0,35.92,36.83,36.585,null,null,null,Infinity
ACB,11/23/2009 12:00:00 AM,40,40,38.8,39.2,831400,42.9,37.3,40.1,-0.9,-2.24,70000,0,0,36.48,37.04,36.625,null,null,null,0.4903789
ACB,11/20/2009 12:00:00 AM,40.5,40.5,39.8,40.1,728000,42.9,37.3,40.1,0,0,200000,0,0,37.62,37.35,36.745,null,null,null,0.6574923
ACB,11/19/2009 12:00:00 AM,40,40.4,40,40.1,1104700,42.8,37.2,40,0.1,0.25,111900,0,0,38.82,37.64,36.95,null,null,null,0.6711237
ACB,11/18/2009 12:00:00 AM,40.5,40.5,39.6,40,1168700,43.1,37.5,40.3,-0.3,-0.74,250300,0,0,39.58,37.77999,37.145,null,null,null,0.6340261
ACB,11/17/2009 12:00:00 AM,41.2,41.2,40,40.3,822300,43.3,37.7,40.5,-0.2,-0.49,0,0,0,39.94,37.93,37.295,null,null,null,0.7323019
ACB,11/16/2009 12:00:00 AM,41.9,41.9,40.8,41.1,1245200,44.1,38.5,41.3,-0.2,-0.48,0,0,0,40.32,38.4,37.505,null,null,null,0.9237596
ACB,11/13/2009 12:00:00 AM,41.9,41.9,41.1,41.3,1350300,44.9,39.1,42,-0.7,-1.67,121000,0,0,40.56,39.09,37.825,null,null,null,0.9610894
ACB,11/12/2009 12:00:00 AM,41.7,42.4,41.5,42,1414400,44.5,38.7,41.6,0.4,0.96,139400,0,0,40.94,39.88,38.17,null,null,null,1.077638
ACB,11/11/2009 12:00:00 AM,41.3,42,41.1,41.6,1735600,44.1,38.5,41.3,0.3,0.73,125000,0,0,41.26,40.42,38.515,null,null,null,0.9390703
ACB,11/10/2009 12:00:00 AM,42,42.5,40.5,41.3,1857000,44.6,38.8,41.7,-0.4,-0.96,175697,0,0,41.46,40.7,38.765,null,null,null,0.8610587
ACB,11/9/2009 12:00:00 AM,41.5,43.3,41.2,41.7,1750900,46.3,40.3,43.3,-1.6,-3.7,0,0,0,41.58,40.95,38.995,null,null,null,1.060314
ACB,11/6/2009 12:00:00 AM,44.1,44.9,42.6,43.3,1450900,46.2,40.2,43.2,0.1,0.23,95000,0,0,41.98,41.27,39.31,null,null,null,1.621831
ACB,11/5/2009 12:00:00 AM,43,43.5,42.6,43.2,1823600,45.7,39.9,42.8,0.4,0.93,70000,0,0,42.22,41.58,39.61,null,null,null,1.45051
ACB,11/4/2009 12:00:00 AM,42,43.5,42,42.8,2311700,45.2,39.4,42.3,0.5,1.18,0,0,0,42.46,41.86,39.82,null,null,null,1.333709
ACB,11/3/2009 12:00:00 AM,43,43.5,41.5,42.3,2951800,46.1,40.1,43.1,-0.8,-1.86,8000,0,0,42.66,42.06,39.995,null,null,null,1.249941
ACB,11/2/2009 12:00:00 AM,45.5,45.5,42.5,43.1,3502100,48.4,42.2,45.3,-2.2,-4.86,137000,0,0,42.94,42.26,40.33,null,null,null,2.064062
ACB,11/2/2009 12:00:00 AM,45.5,45.5,42.5,43.1,3502100,48.4,42.2,45.3,-2.2,-4.86,137000,0,0,42.9,42.44,40.765,null,null,null,2.146929
ACB,10/30/2009 12:00:00 AM,46,46.5,44.7,45.3,2160600,47.8,41.6,44.7,0.6,1.34,10000,0,0,43.32,42.77,41.325,null,null,null,3.597907
ACB,10/29/2009 12:00:00 AM,45.8,45.8,44,44.7,3719500,49.3,42.9,46.1,-1.4,-3.04,50000,0,0,43.7,43.08,41.75,null,null,null,3.210104
ACB,10/28/2009 12:00:00 AM,46.2,46.9,45.5,46.1,1955300,49.5,43.1,46.3,-0.2,-0.43,67000,0,0,44.46,43.56,42.13,null,null,null,5.444624
ACB,10/27/2009 12:00:00 AM,46.5,47.2,45,46.3,3364500,51.1,44.5,47.8,-1.5,-3.14,413000,0,0,45.1,44.02,42.48499,null,null,null,4.881911
ACB,10/26/2009 12:00:00 AM,49,49.2,47.1,47.8,4118100,52.8,46,49.4,-1.6,-3.24,175000,0,0,46.04,44.47,42.86999,null,null,null,6.721039
ACB,10/23/2009 12:00:00 AM,48.9,51,48.3,49.4,8973000,51.6,45,48.3,1.1,2.28,96000,0,0,46.86,45.09,43.335,null,True,null,7.979756
ACB,10/22/2009 12:00:00 AM,49,49.8,47.5,48.3,6196500,49.8,43.4,46.6,1.7,3.65,0,0,0,47.58,45.64,43.74999,null,null,null,5.960829
ACB,10/21/2009 12:00:00 AM,46.2,49,45.7,46.6,3712500,49.5,43.1,46.3,0.3,0.65,175000,0,0,47.68,46.07,44.06499,null,null,null,3.690768
