MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBanCOM,SMA5,SMA10,SMA20,SMA50,GUESS_SMA5_SMA20,GUESS_SMA10_SMA50,CCI
BHV,12/21/2009 12:00:00 AM,45.9,46,45,45.9,5000,46,40,43,2.9,6.74,0,0,0,null,null,null,null,null,null,0
BHV,12/18/2009 12:00:00 AM,43,43.7,42.5,43,1800,43.7,38.1,40.9,2.1,5.13,0,0,0,null,null,null,null,null,null,0
BHV,12/17/2009 12:00:00 AM,40.7,41,40.6,40.9,2500,45.4,39.6,42.5,-1.6,-3.76,0,0,0,null,null,null,null,null,null,0
BHV,12/16/2009 12:00:00 AM,42.6,42.6,42.5,42.5,16400,47.6,41.4,44.5,-2,-4.49,0,300,0,null,null,null,null,null,null,0
BHV,12/15/2009 12:00:00 AM,47.4,47.4,44,44.5,800,49.2,42.8,46,-1.5,-3.26,0,0,0,43.36,null,null,null,null,null,0
BHV,12/14/2009 12:00:00 AM,47,47,45,46,300,47.7,41.5,44.6,1.4,3.14,0,0,0,43.38,null,null,null,null,null,0
BHV,12/11/2009 12:00:00 AM,44.6,44.6,44.6,44.6,2700,51.2,44.6,47.9,-3.3,-6.89,0,1500,0,43.7,null,null,null,null,null,0
BHV,12/10/2009 12:00:00 AM,47.9,47.9,47.9,47.9,100,48.7,42.5,45.6,2.3,5.04,0,0,0,45.1,null,null,null,null,null,0
BHV,12/9/2009 12:00:00 AM,45.8,45.8,45.5,45.6,4000,52.3,45.5,48.9,-3.3,-6.75,0,0,0,45.72,null,null,null,null,null,0
BHV,12/8/2009 12:00:00 AM,48.9,48.9,48.9,48.9,100,50.9,44.3,47.6,1.3,2.73,0,0,0,46.6,44.98,null,null,null,null,0
BHV,12/7/2009 12:00:00 AM,48,48,47.5,47.6,5200,51.7,45.1,48.4,-0.8,-1.65,0,0,0,46.92,45.15,null,null,null,null,0
BHV,12/4/2009 12:00:00 AM,49.5,49.5,47,48.4,2600,53.2,46.4,49.8,-1.4,-2.81,0,200,0,47.68,45.69,null,null,null,null,0
BHV,12/3/2009 12:00:00 AM,0,0,0,49.8,0,53.2,46.4,49.8,0,0,0,0,0,48.06,46.58,null,null,null,null,0
BHV,12/2/2009 12:00:00 AM,50,50,49.5,49.8,900,56.8,49.4,53.1,-3.3,-6.21,0,200,0,48.9,47.31,null,null,null,null,0
BHV,12/1/2009 12:00:00 AM,52.5,53.5,52.5,53.1,3000,53.5,46.5,50,3.1,6.2,0,0,0,49.74,48.17,null,null,null,null,0
BHV,11/30/2009 12:00:00 AM,50,50.1,50,50,1100,50.1,43.7,46.9,3.1,6.61,0,0,0,50.22,48.57,null,null,null,null,0
BHV,11/27/2009 12:00:00 AM,49.3,52.9,49.2,49.9,22700,56.6,49.2,52.9,-3,-5.67,0,0,0,50.52,49.1,null,null,null,null,0
BHV,11/26/2009 12:00:00 AM,53.5,53.5,52.8,52.9,3700,60.6,52.8,56.7,-3.8,-6.7,0,0,0,51.14,49.6,null,null,null,null,0
BHV,11/25/2009 12:00:00 AM,60,61,55.8,56.7,10300,64.2,55.8,60,-3.3,-5.5,0,0,0,52.52,50.71,null,null,null,null,0
BHV,11/24/2009 12:00:00 AM,60.4,60.4,59,60,6600,64.9,56.5,60.7,-0.7,-1.15,0,0,0,53.9,51.82,48.4,null,null,null,Infinity
BHV,11/23/2009 12:00:00 AM,63,63.5,59.4,60.7,12000,68.2,59.4,63.8,-3.1,-4.86,0,0,0,56.04,53.13,49.14,null,null,null,2.040121
BHV,11/20/2009 12:00:00 AM,64,65.7,62,63.8,12200,70.2,61.2,65.7,-1.9,-2.89,0,0,0,58.82,54.67,50.18,null,null,null,2.383616
BHV,11/19/2009 12:00:00 AM,66.5,66.5,64.9,65.7,7200,66.5,57.9,62.2,3.5,5.63,0,0,0,61.38,56.26,51.41999,null,True,null,2.582126
BHV,11/18/2009 12:00:00 AM,60,64.3,60,62.2,33900,64.3,55.9,60.1,2.1,3.49,0,0,0,62.48,57.5,52.405,null,null,null,1.90931
BHV,11/17/2009 12:00:00 AM,60.1,60.1,60,60.1,300,64.6,56.2,60.4,-0.3,-0.5,0,0,0,62.5,58.2,53.185,null,null,null,1.481323
BHV,11/16/2009 12:00:00 AM,60,60.6,60,60.4,1100,64.8,56.4,60.6,-0.2,-0.33,0,0,0,62.43999,59.24,53.905,null,null,True,1.469456
BHV,11/13/2009 12:00:00 AM,60,61.5,60,60.6,11000,63.9,55.7,59.8,0.8,1.34,0,0,0,61.8,60.31001,54.70501,null,null,null,1.480305
BHV,11/12/2009 12:00:00 AM,59.5,60,59.5,59.8,800,63.1,54.9,59,0.8,1.36,0,0,0,60.62,61,55.3,null,null,null,1.231289
BHV,11/11/2009 12:00:00 AM,59,59,59,59,3200,62.8,54.6,58.7,0.3,0.51,0,0,0,59.98,61.23,55.97,null,False,null,1.037672
BHV,11/10/2009 12:00:00 AM,58.5,59,58.5,58.7,4000,64,55.8,59.9,-1.2,-2,0,0,0,59.7,61.1,56.46,null,null,null,0.9070488
BHV,11/9/2009 12:00:00 AM,60.3,60.4,57.5,59.9,2200,63.4,55.2,59.3,0.6,1.01,0,0,0,59.6,61.02,57.075,null,null,null,0.9851535
BHV,11/6/2009 12:00:00 AM,60.5,60.6,59,59.3,8000,62.3,54.3,58.3,1,1.72,0,0,0,59.34,60.57,57.62001,null,null,null,1.011695
BHV,11/5/2009 12:00:00 AM,57,60,53,58.3,14900,60.2,52.4,56.3,2,3.55,0,0,0,59.04,59.83,58.045,null,null,null,0.276527
BHV,11/4/2009 12:00:00 AM,56.1,58,56,56.3,20500,59.8,52,55.9,0.4,0.72,0,1000,0,58.5,59.24,58.37,null,null,null,-0.3617581
BHV,11/3/2009 12:00:00 AM,57,57,55,55.9,21900,61.6,53.6,57.6,-1.7,-2.95,0,0,0,57.94,58.82,58.51,null,null,null,-0.7569012
BHV,11/2/2009 12:00:00 AM,60.5,60.5,57,57.6,8100,64.3,55.9,60.1,-2.5,-4.16,0,0,0,57.48,58.54,58.89,null,null,null,-0.07557555
BHV,10/30/2009 12:00:00 AM,59,60.3,59,60.1,17700,60.3,52.5,56.4,3.7,6.56,0,0,0,57.64,58.49,59.39999,null,null,null,0.3248275
BHV,10/29/2009 12:00:00 AM,57,57.5,56,56.4,8200,63.8,55.6,59.7,-3.3,-5.53,0,0,0,57.26,58.14999,59.57499,null,null,null,-1.34751
BHV,10/28/2009 12:00:00 AM,59,62.4,59,59.7,10800,65.1,56.7,60.9,-1.2,-1.97,0,0,0,57.94,58.22,59.725,null,null,null,0.4378544
BHV,10/27/2009 12:00:00 AM,63,63,60.5,60.9,13400,69.5,60.5,65,-4.1,-6.31,0,0,0,58.94,58.44,59.77,null,null,null,1.369083
BHV,10/26/2009 12:00:00 AM,64.5,66,64.5,65,17100,72.3,62.9,67.6,-2.6,-3.85,0,0,0,60.42,58.95,59.985,null,null,null,4.579898
BHV,10/23/2009 12:00:00 AM,71,71,65.4,67.6,11200,75.2,65.4,70.3,-2.7,-3.84,0,0,0,61.92,59.78,60.175,null,True,null,7.231318
BHV,10/22/2009 12:00:00 AM,70,71,70,70.3,8000,78.1,67.9,73,-2.7,-3.7,0,0,0,64.7,60.98,60.405,null,null,null,9.730391
BHV,10/21/2009 12:00:00 AM,74.1,74.1,71,73,24700,74.1,64.5,69.3,3.7,5.34,0,0,0,67.36,62.65,60.945,null,null,null,12.1577
BHV,10/20/2009 12:00:00 AM,69.3,69.3,69.3,69.3,8000,69.3,60.3,64.8,4.5,6.94,0,0,0,69.04,63.99,61.40501,null,null,null,8.190939
BHV,10/19/2009 12:00:00 AM,63,65.6,61.5,64.8,23300,65.6,57.2,61.4,3.4,5.54,0,0,500,69.00001,64.71001,61.625,null,null,null,2.465434
BHV,10/16/2009 12:00:00 AM,62,63,61,61.4,15600,65.1,56.7,60.9,0.5,0.82,0,5000,0,67.75999,64.84,61.665,null,null,null,0.1478387
BHV,10/15/2009 12:00:00 AM,61.5,62,60.5,60.9,9000,62.3,54.3,58.3,2.6,4.46,0,2600,0,65.88,65.29001,61.72,null,null,null,-0.6327329
BHV,10/14/2009 12:00:00 AM,57.8,59.5,57.8,58.3,9700,61.8,53.8,57.8,0.5,0.87,0,5400,400,62.94,65.15,61.68501,null,null,null,-3.755059
BHV,10/13/2009 12:00:00 AM,58,58,56.5,57.8,5400,61.8,53.8,57.8,0,0,0,1700,0,60.64,64.84,61.64001,56.236,null,null,-5.364356
BHV,10/12/2009 12:00:00 AM,56.5,58.5,56.5,57.8,20400,59.7,51.9,55.8,2,3.58,0,2600,0,59.24,64.12,61.535,56.474,null,null,-5.493099
BHV,10/9/2009 12:00:00 AM,55.6,56.5,52.6,55.8,10700,59.5,51.9,55.7,0.1,0.18,0,900,0,58.12,62.93999,61.36,56.73,null,null,-9.683324
BHV,10/8/2009 12:00:00 AM,55.5,56.4,55.5,55.7,4700,59,51.4,55.2,0.5,0.91,0,1300,0,57.08,61.48,61.23,57.026,null,null,-9.040802
BHV,10/7/2009 12:00:00 AM,55.5,55.5,54,55.2,11000,57.6,50.2,53.9,1.3,2.41,0,5400,0,56.46,59.69999,61.175,57.28,null,null,-11.14684
BHV,10/6/2009 12:00:00 AM,54,54,52.6,53.9,2000,56.1,48.9,52.5,1.4,2.67,0,0,0,55.68,58.16,61.07499,57.468,False,null,-14.30259
BHV,10/5/2009 12:00:00 AM,52.3,53,52.2,52.5,1700,55.9,48.7,52.3,0.2,0.38,0,0,0,54.62,56.93,60.82,57.598,null,null,-17.00982
BHV,10/2/2009 12:00:00 AM,51.3,53,51.3,52.3,500,55.8,48.6,52.2,0.1,0.19,0,0,0,53.92,56.02,60.42999,57.752,null,null,-19.46166
BHV,10/1/2009 12:00:00 AM,54.4,54.4,51,52.2,4400,58.2,50.6,54.4,-2.2,-4.04,0,0,0,53.22,55.15,60.22,57.838,null,null,-21.04334
BHV,9/30/2009 12:00:00 AM,54.1,54.5,54.1,54.4,1900,57.6,50.2,53.9,0.5,0.93,0,0,0,53.06001,54.76,59.95501,58.014,null,null,-17.40056
BHV,9/29/2009 12:00:00 AM,54.3,54.3,53,53.9,7100,60.5,52.7,56.6,-2.7,-4.77,0,0,0,53.06,54.37,59.605,58.114,null,null,-21.35641
BHV,9/28/2009 12:00:00 AM,57,57,56,56.6,9500,60.6,52.8,56.7,-0.1,-0.18,0,0,0,53.88,54.25,59.18501,58.294,null,null,-12.98075
BHV,9/25/2009 12:00:00 AM,55.9,57,55.9,56.7,8200,60.1,52.3,56.2,0.5,0.89,0,0,0,54.76,54.34,58.64,58.46,True,null,-15.09243
BHV,9/24/2009 12:00:00 AM,56.7,56.7,55.5,56.2,13600,61.3,53.3,57.3,-1.1,-1.92,0,0,100,55.56,54.39,57.935,58.588,null,null,-25.81209
BHV,9/23/2009 12:00:00 AM,59,59,56.2,57.3,21600,64.5,56.1,60.3,-3,-4.98,0,0,400,56.14,54.6,57.15001,58.738,null,null,-1401.194
BHV,9/22/2009 12:00:00 AM,62,62,57.9,60.3,8200,66.5,57.9,62.2,-1.9,-3.05,0,0,200,57.42,55.24,56.7,58.882,null,null,-33.56483
BHV,9/21/2009 12:00:00 AM,63,63.5,60,62.2,11700,63.5,55.3,59.4,2.8,4.71,0,0,200,58.54,56.21,56.57,59.126,null,null,-42.17494
BHV,9/18/2009 12:00:00 AM,60.7,60.8,55.1,59.4,9300,60.8,53,56.9,2.5,4.39,0,100,0,59.08001,56.92001,56.47001,59.316,null,null,-18.81456
BHV,9/17/2009 12:00:00 AM,57,57,53.5,56.9,54100,57,49.6,53.3,3.6,6.75,0,100,400,59.22,57.39001,56.27001,59.39601,null,null,5.81311
BHV,9/16/2009 12:00:00 AM,52.5,54.8,52.5,53.3,12900,54.8,47.8,51.3,2,3.9,0,0,0,58.42,57.28001,56.02001,59.32801,null,null,28.47421
BHV,9/15/2009 12:00:00 AM,52.5,52.5,51,51.3,8100,54.7,47.7,51.2,0.1,0.2,0,0,0,56.62,57.02,55.69501,59.15401,null,null,50.50513
BHV,9/14/2009 12:00:00 AM,49,52.2,49,51.2,1000,55.5,48.3,51.9,-0.7,-1.35,0,0,0,54.42,56.48,55.365,58.96401,null,null,56.8947
BHV,9/11/2009 12:00:00 AM,50.7,52.4,50.7,51.9,700,55.5,48.3,51.9,0,0,0,0,0,52.92,56,55.17,58.72601,null,null,39.7897
BHV,9/10/2009 12:00:00 AM,50.5,52.7,50.5,51.9,600,55.6,48.4,52,-0.1,-0.19,0,0,0,51.92,55.57,54.98,58.45001,null,null,49.86404
BHV,9/9/2009 12:00:00 AM,52.1,52.5,51.5,52,9600,54,47,50.5,1.5,2.97,0,0,0,51.66,55.04,54.82,58.24601,null,null,55.67243
BHV,9/8/2009 12:00:00 AM,50.3,51,50.3,50.5,3800,51.8,45.2,48.5,2,4.12,0,0,0,51.5,54.06,54.65,58.054,null,null,169.9366
BHV,9/7/2009 12:00:00 AM,49.1,50.2,48,48.5,4300,53.7,46.7,50.2,-1.7,-3.39,0,0,0,50.96,52.68999,54.45,57.81601,False,null,-2059.952
BHV,9/4/2009 12:00:00 AM,50.6,50.6,50,50.2,2800,54,47,50.5,-0.3,-0.59,0,0,0,50.62,51.77,54.345,57.60801,null,False,-180.6871
BHV,9/3/2009 12:00:00 AM,51,51,50,50.5,9300,54.9,47.9,51.4,-0.9,-1.75,0,0,0,50.34,51.13,54.26,57.42201,null,null,-69.39781
BHV,9/1/2009 12:00:00 AM,51.1,52,51,51.4,8300,55.7,48.5,52.1,-0.7,-1.34,0,200,1000,50.22,50.94,54.11,57.27,null,null,-31.88535
BHV,8/31/2009 12:00:00 AM,53.1,53.2,51.5,52.1,2700,54.8,47.8,51.3,0.8,1.56,0,0,0,50.54,51.02,54.02,57.13801,null,null,-16.29125
BHV,8/28/2009 12:00:00 AM,51,52,51,51.3,3200,54.4,47.4,50.9,0.4,0.79,0,0,1100,51.1,51.03,53.755,56.96601,null,null,-18.21084
BHV,8/27/2009 12:00:00 AM,51,51,50.5,50.9,4300,54.2,47.2,50.7,0.2,0.39,0,0,0,51.24,50.93,53.465,56.79801,null,null,-20.88711
BHV,8/26/2009 12:00:00 AM,50.5,51,50.5,50.7,11800,54.2,47.2,50.7,0,0,0,0,0,51.28,50.81,53.19,56.64601,null,null,-20.23236
BHV,8/25/2009 12:00:00 AM,51,51,50.6,50.7,2000,54.9,47.9,51.4,-0.7,-1.36,0,0,0,51.14,50.68,52.86001,56.53401,null,null,-18.94511
BHV,8/24/2009 12:00:00 AM,52.1,52.1,51.2,51.4,6000,55.7,48.5,52.1,-0.7,-1.34,0,1000,400,51,50.77,52.415,56.444,null,null,-11.68853
BHV,8/21/2009 12:00:00 AM,52.1,52.7,51.6,52.1,8600,55.4,48.2,51.8,0.3,0.58,0,0,0,51.16,51.13,51.91,56.334,null,null,-3.025412
BHV,8/20/2009 12:00:00 AM,51.8,51.8,51.8,51.8,2900,55.3,48.1,51.7,0.1,0.19,0,0,0,51.34,51.29,51.53,56.168,null,null,-1.925962
BHV,8/19/2009 12:00:00 AM,53,53,51.5,51.7,4100,55.1,47.9,51.5,0.2,0.39,0,0,0,51.54,51.41,51.27001,56.07401,null,null,61.88784
BHV,8/18/2009 12:00:00 AM,51.5,51.6,51.5,51.5,2500,55.2,48,51.6,-0.1,-0.19,0,0,0,51.7,51.42,51.18,55.91,null,null,13.63499
BHV,8/17/2009 12:00:00 AM,51.6,51.6,51.5,51.6,1200,55.2,48,51.6,0,0,0,0,0,51.74,51.37,51.195,55.724,null,null,10.06079
BHV,8/14/2009 12:00:00 AM,51.5,52,51.2,51.6,2600,54.6,47.6,51.1,0.5,0.98,0,0,0,51.64,51.4,51.215,55.45601,null,null,5.689351
BHV,8/13/2009 12:00:00 AM,50,52.5,50,51.1,2900,55.6,48.4,52,-0.9,-1.73,0,0,0,51.5,51.42,51.175,55.12601,null,null,-0.6773795
BHV,8/12/2009 12:00:00 AM,51.6,52.5,51,52,5800,55.2,48,51.6,0.4,0.78,0,0,0,51.56,51.55,51.18,54.76,null,True,4.69013
BHV,8/11/2009 12:00:00 AM,48.6,52.5,48.6,51.6,2400,55.4,48.2,51.8,-0.2,-0.39,0,0,0,51.58,51.64,51.16,54.332,null,null,-2.297258
BHV,8/10/2009 12:00:00 AM,51.8,52,51.2,51.8,1000,54.7,47.7,51.2,0.6,1.17,0,0,0,51.62,51.68,51.225,53.982,null,null,2.758978
BHV,8/7/2009 12:00:00 AM,51.5,51.7,51,51.2,6400,55.3,48.1,51.7,-0.5,-0.97,0,0,0,51.54,51.59,51.36,53.71,null,null,0.2460192
BHV,8/6/2009 12:00:00 AM,49.5,52.1,49.5,51.7,8600,56.2,49,52.6,-0.9,-1.71,0,0,0,51.66,51.58,51.435,53.516,null,null,-1.105491
BHV,8/5/2009 12:00:00 AM,51.5,53,51.3,52.6,5500,58.9,51.3,55.1,-2.5,-4.54,0,0,0,51.78,51.67,51.54,53.35,null,null,3.266625
BHV,8/4/2009 12:00:00 AM,56,56,52,55.1,3700,59.5,51.9,55.7,-0.6,-1.08,0,0,0,52.48,52.03,51.725,53.286,null,null,9.368796
BHV,8/3/2009 12:00:00 AM,56.5,56.5,55,55.7,9300,59.5,51.9,55.7,0,0,0,2000,0,53.26,52.43999,51.905,53.244,True,null,11.80558
BHV,7/31/2009 12:00:00 AM,59.9,60,58.5,59.2,8100,61.2,53.2,57.2,2,3.5,0,0,0,54.86,53.2,52.3,53.272,null,null,19.05066
BHV,7/30/2009 12:00:00 AM,58.9,58.9,57,57.2,8300,63,54.8,58.9,-1.7,-2.89,0,0,0,55.96,53.81001,52.615,53.3,null,null,11.89857
BHV,7/29/2009 12:00:00 AM,61.9,61.9,58,58.9,13200,61.9,53.9,57.9,1,1.73,0,0,0,57.22,54.5,53.02499,53.36399,null,null,13.50037
BHV,7/28/2009 12:00:00 AM,59,61,56.8,57.9,16300,62.5,54.5,58.5,-0.6,-1.03,0,200,0,57.78,55.13,53.385,53.418,null,null,9.399392
BHV,7/27/2009 12:00:00 AM,58.7,58.7,58.4,58.5,18200,58.7,51.1,54.9,3.6,6.56,0,200,0,58.34,55.80001,53.74,53.50999,null,null,7.925869
