Date,Open,High,Low,Close,Volume
Nov-30-2010,7483.3101,7483.3101,7385.5801,7430.9399,0
Nov-29-2010,7500.5400,7500.5400,7389.6802,7483.3398,0
Nov-26-2010,7579.2598,7579.2598,7488.6602,7500.5400,0
Nov-24-2010,7470.7900,7579.4302,7470.7900,7579.2598,0
Nov-23-2010,7610.2900,7610.2900,7448.0400,7470.7700,0
Nov-22-2010,7641.0601,7641.0601,7526.9102,7610.2998,0
Nov-19-2010,7619.9199,7641.6201,7557.1602,7641.0801,0
Nov-18-2010,7488.8701,7635.8398,7488.8701,7619.9399,0
Nov-17-2010,7472.6899,7519.8799,7464.5298,7488.7598,0
Nov-16-2010,7617.4702,7617.4702,7437.9399,7472.6299,0
Nov-15-2010,7623.2598,7683.7100,7616.5801,7617.5098,0
Nov-12-2010,7723.2202,7723.2202,7590.5601,7623.2402,0
Nov-11-2010,7747.4199,7747.4199,7670.9102,7723.2402,0
Nov-10-2010,7702.3101,7747.5698,7642.6699,7747.4600,0
Nov-09-2010,7782.2002,7815.4600,7673.9902,7702.3101,0
Nov-08-2010,7800.6499,7800.6499,7736.0000,7782.2002,0
Nov-05-2010,7782.4302,7817.2500,7767.7402,7800.6602,0
Nov-04-2010,7608.4302,7783.3198,7608.4302,7782.4302,0
Nov-03-2010,7582.1401,7608.4102,7513.8198,7608.4102,0
Nov-02-2010,7509.5098,7594.2300,7509.5098,7582.1401,0
Nov-01-2010,7513.3701,7579.0400,7468.0400,7509.2100,0
Oct-29-2010,7504.8501,7521.1001,7483.2300,7513.3501,0
Oct-28-2010,7480.8701,7540.9600,7470.7300,7504.8501,0
Oct-27-2010,7530.7402,7530.7402,7417.4199,7480.8701,0
Oct-26-2010,7546.3799,7546.3799,7483.5298,7530.7998,0
Oct-25-2010,7522.9600,7615.2300,7522.9600,7546.3799,0
Oct-22-2010,7515.6802,7540.3599,7502.8101,7522.9102,0
Oct-21-2010,7523.8301,7586.2300,7460.1499,7515.6699,0
Oct-20-2010,7423.6499,7549.0601,7423.6499,7523.8101,0
Oct-19-2010,7571.0898,7571.0898,7384.7700,7423.6499,0
Oct-18-2010,7520.6401,7577.2300,7503.3398,7571.1001,0
Oct-15-2010,7546.6401,7579.6299,7478.7202,7520.6001,0
Oct-14-2010,7561.5000,7582.9502,7501.9902,7546.5898,0
Oct-13-2010,7489.6699,7596.4302,7489.6699,7561.5000,0
Oct-12-2010,7478.7998,7505.3398,7401.4102,7489.6201,0
Oct-11-2010,7478.3799,7498.0298,7458.9502,7479.0098,0
Oct-08-2010,7425.0000,7493.1201,7417.5898,7478.4199,0
Oct-07-2010,7448.3301,7476.3301,7384.8701,7425.0098,0
Oct-06-2010,7434.1699,7461.5298,7422.7598,7448.3301,0
Oct-05-2010,7272.5698,7448.2300,7272.5698,7434.1802,0
Oct-04-2010,7335.9102,7339.6802,7240.2100,7272.5298,0
Oct-01-2010,7281.0898,7350.5898,7281.0898,7335.9102,0
Sep-30-2010,7299.3198,7376.9102,7246.2402,7281.0698,0
Sep-29-2010,7310.2700,7324.5498,7270.0498,7299.3101,0
Sep-28-2010,7263.3701,7321.1499,7198.8599,7310.3198,0
Sep-27-2010,7301.0298,7305.9399,7262.3301,7263.3701,0
Sep-24-2010,7141.5498,7302.2500,7141.5498,7301.0400,0
Sep-23-2010,7210.7900,7212.6099,7128.2300,7141.5098,0
Sep-22-2010,7245.9600,7281.2402,7193.7700,7210.8501,0
Sep-21-2010,7266.0098,7298.6001,7212.7002,7245.9502,0
