0.354528076464966 1:0 2:0.733003867640147 3:0.720837265017438 4:-0.53950318867062 5:0.717858462712351 
0.700490156865863 1:0.733003867640147 2:0.720837265017438 3:-0.53950318867062 4:0.717858462712351 5:0.354528076464966 
0.860017176191752 1:0.720837265017438 2:-0.53950318867062 3:0.717858462712351 4:0.354528076464966 5:0.700490156865863 
0.843316753686274 1:-0.53950318867062 2:0.717858462712351 3:0.354528076464966 4:0.700490156865863 5:0.860017176191752 
0.827252596598993 1:0.717858462712351 2:0.354528076464966 3:0.700490156865863 4:0.860017176191752 5:0.843316753686274 
-0.827252596598993 1:0.354528076464966 2:0.700490156865863 3:0.860017176191752 4:0.843316753686274 5:0.827252596598993 
-0.843316753686274 1:0.700490156865863 2:0.860017176191752 3:0.843316753686274 4:0.827252596598993 5:-0.827252596598993 
0.843316753686274 1:0.860017176191752 2:0.843316753686274 3:0.827252596598993 4:-0.827252596598993 5:-0.843316753686274 
0.827252596598993 1:0.843316753686274 2:0.827252596598993 3:-0.827252596598993 4:-0.843316753686274 5:0.843316753686274 
-0.827252596598993 1:0.827252596598993 2:-0.827252596598993 3:-0.843316753686274 4:0.843316753686274 5:0.827252596598993 
-0.843316753686274 1:-0.827252596598993 2:-0.843316753686274 3:0.843316753686274 4:0.827252596598993 5:-0.827252596598993 
0.339294289733938 1:-0.843316753686274 2:0.843316753686274 3:0.827252596598993 4:-0.827252596598993 5:-0.843316753686274 
-0.853258254975042 1:0.843316753686274 2:0.827252596598993 3:-0.827252596598993 4:-0.843316753686274 5:0.339294289733938 
0.513963965241104 1:0.827252596598993 2:-0.827252596598993 3:-0.843316753686274 4:0.339294289733938 5:-0.853258254975042 
0 1:-0.827252596598993 2:-0.843316753686274 3:0.339294289733938 4:-0.853258254975042 5:0.513963965241104 
0 1:-0.843316753686274 2:0.339294289733938 3:-0.853258254975042 4:0.513963965241104 5:0 
0 1:0.339294289733938 2:-0.853258254975042 3:0.513963965241104 4:0 5:0 
0 1:-0.853258254975042 2:0.513963965241104 3:0 4:0 5:0 
0 1:0.513963965241104 2:0 3:0 4:0 5:0 
-0.513963965241104 1:0 2:0 3:0 4:0 5:0 
-0.346053210950648 1:0 2:0 3:0 4:0 5:-0.513963965241104 
0 1:0 2:0 3:0 4:-0.513963965241104 5:-0.346053210950648 
0 1:0 2:0 3:-0.513963965241104 4:-0.346053210950648 5:0 
0.346053210950648 1:0 2:-0.513963965241104 3:-0.346053210950648 4:0 5:0 
0.513963965241104 1:-0.513963965241104 2:-0.346053210950648 3:0 4:0 5:0.346053210950648 
-0.860017176191752 1:-0.346053210950648 2:0 3:0 4:0.346053210950648 5:0.513963965241104 
-0.877392430750534 1:0 2:0 3:0.346053210950648 4:0.513963965241104 5:-0.860017176191752 
0 1:0 2:0.346053210950648 3:0.513963965241104 4:-0.860017176191752 5:-0.877392430750534 
-0.714904178966402 1:0.346053210950648 2:0.513963965241104 3:-0.860017176191752 4:-0.877392430750534 5:0 
